"YEAR","Missing","Observed","Interpolated","Translated","Long-Term Filled"
 0000,  0, 32, 67,  1,  0
 1973,  0, 31, 67,  1,  1
 1974,  0, 31, 69,  1,  0
 1975,  0, 31, 68,  0,  1
 1976,  0, 31, 68,  1,  1
 1977,  0, 32, 68,  1,  0
 1978,  0, 33, 67,  0,  0
 1979,  0, 33, 67,  1,  0
 1980,  0, 33, 66,  2,  0
 1981,  0, 32, 67,  1,  0
 1982,  0, 33, 67,  0,  0
 1983,  0, 33, 67,  1,  0
 1984,  0, 33, 66,  1,  0
 1985,  0, 33, 67,  0,  0
 1986,  0, 33, 66,  1,  1
 1987,  0, 32, 67,  1,  1
 1988,  0, 32, 67,  1,  0
 1989,  0, 32, 68,  0,  0
 1990,  0, 32, 67,  1,  0
 1991,  0, 32, 67,  0,  1
 1992,  0, 33, 66,  1,  0
 1993,  0, 31, 60,  9,  0
 1994,  0, 32, 68,  1,  0
 1995,  0, 31, 65,  4,  0
 1996,  0, 31, 65,  3,  0
 1997,  0, 32, 67,  1,  1
 1998,  0, 31, 66,  1,  2
 1999,  0, 32, 65,  1,  2
 2000,  0, 33, 67,  0,  0
 2001,  0, 33, 66,  1,  1
 2002, 42, 19, 39,  1,  0